X,1.7882378695793925e+03,Y,6.2308320715990949e+03,Z,1.5228498701913081e+03,Rx,-2.0054252316216932e+00,Ry,-9.2877574984342848e-02,Rz,-1.7831860267281667e+02,Time(sec),3.600000
X,1.7882759736690559e+03,Y,6.2307621857857766e+03,Z,1.5228371377075716e+03,Rx,-2.0107557207830360e+00,Ry,-9.4086140265180043e-02,Rz,-1.7832387419740809e+02,Time(sec),3.633000
X,1.7882964884107344e+03,Y,6.2306664849421149e+03,Z,1.5228026060031114e+03,Rx,-2.0286380831035373e+00,Ry,-9.7253552592180714e-02,Rz,-1.7832850199725672e+02,Time(sec),3.667000
X,1.7883001046435058e+03,Y,6.2307003180829279e+03,Z,1.5228112236232873e+03,Rx,-2.0238375658960699e+00,Ry,-9.6934715116166789e-02,Rz,-1.7832730361281804e+02,Time(sec),3.700000
X,1.7882856701253841e+03,Y,6.2308156882574176e+03,Z,1.5228486401423620e+03,Rx,-2.0030497336743007e+00,Ry,-9.2937076682005126e-02,Rz,-1.7832593767203534e+02,Time(sec),3.733000
X,1.7882749873856044e+03,Y,6.2308394630401817e+03,Z,1.5228553254560902e+03,Rx,-1.9989784727916877e+00,Ry,-9.0805740606069829e-02,Rz,-1.7832696027935086e+02,Time(sec),3.767000
X,1.7883356626400555e+03,Y,6.2307531739229980e+03,Z,1.5228325333842531e+03,Rx,-2.0116055935168276e+00,Ry,-9.4295392939409500e-02,Rz,-1.7832397545427619e+02,Time(sec),3.800000
X,1.7884246874961680e+03,Y,6.2306643532555609e+03,Z,1.5228049035112065e+03,Rx,-2.0262104872303612e+00,Ry,-9.7722367436969701e-02,Rz,-1.7831505167180512e+02,Time(sec),3.833000
X,1.7884781519708138e+03,Y,6.2306800143863793e+03,Z,1.5228025159667568e+03,Rx,-2.0284708865668630e+00,Ry,-9.9713718611563709e-02,Rz,-1.7830756792094076e+02,Time(sec),3.867000
X,1.7884440722753241e+03,Y,6.2308069733883194e+03,Z,1.5228259486907912e+03,Rx,-2.0147044238959300e+00,Ry,-9.5834852197665132e-02,Rz,-1.7830624816221740e+02,Time(sec),3.900000
X,1.7884259174142439e+03,Y,6.2309379707895569e+03,Z,1.5228566371285458e+03,Rx,-1.9983503949751906e+00,Ry,-9.1398001836687656e-02,Rz,-1.7829974671068612e+02,Time(sec),3.933000
X,1.7884945999491570e+03,Y,6.2309495030320431e+03,Z,1.5228493139213747e+03,Rx,-2.0024919188488983e+00,Ry,-9.2396845196616631e-02,Rz,-1.7828551577762460e+02,Time(sec),3.967000
X,1.7886774011296982e+03,Y,6.2308912060821722e+03,Z,1.5228197387231239e+03,Rx,-2.0199107976082002e+00,Ry,-9.6896616203666311e-02,Rz,-1.7825647511058514e+02,Time(sec),4.000000
X,1.7889425713160001e+03,Y,6.2309134435565493e+03,Z,1.5228116493680202e+03,Rx,-2.0256564932846528e+00,Ry,-9.6969908675999680e-02,Rz,-1.7819773095259072e+02,Time(sec),4.033000
X,1.7893267758277207e+03,Y,6.2310663685679292e+03,Z,1.5228384035901308e+03,Rx,-2.0117708470754838e+00,Ry,-9.5627212335818931e-02,Rz,-1.7810382050285278e+02,Time(sec),4.067000
X,1.7897981641493634e+03,Y,6.2312284603507114e+03,Z,1.5228598793611709e+03,Rx,-2.0026096421507624e+00,Ry,-8.9789548725408050e-02,Rz,-1.7797929913925086e+02,Time(sec),4.100000
X,1.7904859645564625e+03,Y,6.2313529813713940e+03,Z,1.5228593518612929e+03,Rx,-2.0101886540117309e+00,Ry,-8.8965021541654685e-02,Rz,-1.7781731297516021e+02,Time(sec),4.133000
