X,1.7908068535641282e+03,Y,1.0463505679094977e+04,Z,1.5273263115215098e+03,Rx,-1.8992089170607924e+00,Ry,-3.0037828463840288e-01,Rz,1.7995185056655475e+02,Time(sec),7.200000
X,1.7908046426548353e+03,Y,1.0463478264096029e+04,Z,1.5273241526280615e+03,Rx,-1.8990066780369617e+00,Ry,-2.9901615539758891e-01,Rz,1.7995224412527352e+02,Time(sec),7.233000
X,1.7908056439047914e+03,Y,1.0463434382779991e+04,Z,1.5273182746700672e+03,Rx,-1.9006837529338121e+00,Ry,-2.9835637809597115e-01,Rz,1.7995125010172839e+02,Time(sec),7.267000
X,1.7908164352144622e+03,Y,1.0463411684686760e+04,Z,1.5273205024447973e+03,Rx,-1.9009573491594436e+00,Ry,-2.9845737524395821e-01,Rz,1.7995046248786261e+02,Time(sec),7.300000
X,1.7908266772846350e+03,Y,1.0463409555196402e+04,Z,1.5273195496674050e+03,Rx,-1.9011971217005526e+00,Ry,-2.9853963972279779e-01,Rz,1.7995109641012854e+02,Time(sec),7.333000
X,1.7908290262759253e+03,Y,1.0463429026951508e+04,Z,1.5273205486554266e+03,Rx,-1.9013544542115173e+00,Ry,-2.9855613400882935e-01,Rz,1.7995053779153793e+02,Time(sec),7.367000
X,1.7908201812708303e+03,Y,1.0463468944144337e+04,Z,1.5273223465321796e+03,Rx,-1.8982042838350144e+00,Ry,-2.9770677766055348e-01,Rz,1.7995014896919889e+02,Time(sec),7.400000
X,1.7908101520559892e+03,Y,1.0463484121392232e+04,Z,1.5273159237869213e+03,Rx,-1.8981522439209708e+00,Ry,-2.9785537793903627e-01,Rz,1.7994863895519080e+02,Time(sec),7.433000
X,1.7908072324402933e+03,Y,1.0463485556976584e+04,Z,1.5273107957138036e+03,Rx,-1.8973450893871391e+00,Ry,-2.9798615572563980e-01,Rz,1.7994917014571303e+02,Time(sec),7.467000
X,1.7908218891081701e+03,Y,1.0463469087091489e+04,Z,1.5273051552628040e+03,Rx,-1.8970493745266379e+00,Ry,-2.9900803512859059e-01,Rz,1.7995045712315132e+02,Time(sec),7.500000
X,1.7908421695284985e+03,Y,1.0463430700281320e+04,Z,1.5272933585272522e+03,Rx,-1.8984561751264328e+00,Ry,-3.0009962872428603e-01,Rz,1.7995108888966016e+02,Time(sec),7.533000
X,1.7908526520045928e+03,Y,1.0463399395362096e+04,Z,1.5272864558454539e+03,Rx,-1.8987639538443304e+00,Ry,-3.0087762317865285e-01,Rz,1.7994986219253551e+02,Time(sec),7.567000
X,1.7908546328639047e+03,Y,1.0463395813284153e+04,Z,1.5272834044449683e+03,Rx,-1.8975883920156431e+00,Ry,-3.0123536415977387e-01,Rz,1.7994914208742927e+02,Time(sec),7.600000
X,1.7908538988001012e+03,Y,1.0463413230562028e+04,Z,1.5272816006857952e+03,Rx,-1.8979784477728630e+00,Ry,-3.0166070164833275e-01,Rz,1.7994909862570637e+02,Time(sec),7.633000
